project_id,constituency_id,district,state,mp_name,work_category,sanctioned_amount,released_amount,expenditure_amount,sanction_date,completion_date,status,implementing_agency,contractor_name,contractor_reg_no,contractor_address,contractor_pan,latitude,longitude,completion_certificate,geo_photo_uploaded,financial_year
G-RAJ-2024-0021,GJ-04,Rajkot,Gujarat,MP Sanya Madan,community_hall,1773367,1756212,1691685,2024-12-18,2025-09-14,completed,Zila Parishad Engineering Division,Dani Ltd Builders,REG-396,"10, Sodhi Marg, Rajkot, PIN - 454061",MRBKP0321I,22.323767,70.768693,True,True,2024-25
TN-COI-2024-0022,TN-02,Coimbatore,Tamil Nadu,MP Rajeshri Gera,community_hall,4420000,4420000,4331600,2024-12-04,,ongoing,District Rural Development Agency (DRDA),M/s Maa Durga Infrastructure,REG-BR-442,"57/50
Mistry Zila, Coimbatore, PIN - 800001",MDUIN9988K,10.982548,77.011368,False,False,2024-25
UP-KAN-2023-0023,UP-04,Kanpur Nagar,Uttar Pradesh,MP Ubika Purohit,community_hall,2144561,1915076,1771552,2023-04-09,2023-12-05,completed,Zila Parishad Engineering Division,"Lalla, Buch and Choudhry Builders",REG-610,"89, Patla Chowk, Kanpur Nagar, PIN - 433528",KZXVY7119O,26.40254,80.338488,True,True,2023-24
O-PUR-2024-0024,OD-03,Puri,Odisha,MP Nachiket Virk,community_hall,1450359,1295382,1251921,2024-04-17,2024-03-27,completed,Water Supply & Sanitation Board,M/s Maa Durga Infrastructure,REG-BR-442,"91/745, Kumer Zila, Puri, PIN - 800001",MDUIN9988K,19.800151,85.877298,False,False,2024-25
K-DHA-2024-0025,KA-03,Dharwad,Karnataka,MP Vedika Thakkar,sanitation,311393,299954,286354,2024-04-21,2024-04-05,completed,Zila Parishad Engineering Division,National Infra Conclave,REG-DL-990,"79/319, Deshpande Ganj, Dharwad, PIN - 110001",NATIN3322R,15.503083,75.082086,False,False,2024-25
WB-MUR-2024-0026,WB-04,Murshidabad,West Bengal,MP Nitesh Bhatia,road,1808128,1580555,1556216,2024-01-14,2023-11-30,completed,District Rural Development Agency (DRDA),Surya Dev Projects Ltd,REG-MP-883,"202
Menon Path, Murshidabad, PIN - 462001",SDPL4433Q,24.170513,88.350199,True,True,2024-25
A-SIL-2024-0027,AS-03,Silchar,Assam,MP Theodore Yogi,community_hall,2250889,2177970,2029401,2024-08-26,2025-03-28,completed,Public Works Department (PWD),Ravel-Brahmbhatt Builders,REG-115,"H.No. 84
Dani Zila, Silchar, PIN - 485644",UPHZZ5718E,24.836597,92.824701,True,True,2024-25
R-KOT-2024-0028,RJ-03,Kota,Rajasthan,MP Faris Dara,water,714737,658436,629552,2024-05-07,2024-10-13,completed,Water Supply & Sanitation Board,"Sinha, Rattan and Sethi Builders",REG-146,"79/89, Nagy Path, Kota, PIN - 167174",ZNHCF2105I,25.24083,75.856107,True,True,2024-25
T-NIZ-2024-0029,TS-03,Nizamabad,Telangana,MP Wridesh Yogi,road,1411722,1309414,1279362,2024-05-18,,stalled,Water Supply & Sanitation Board,"Vasa, Kanda and Karnik Builders",REG-151,"96/912, Gupta, Nizamabad, PIN - 286149",ABXLD9830O,18.663789,78.021116,False,False,2024-25
TN-COI-2023-0030,TN-02,Coimbatore,Tamil Nadu,MP Avni Chaudhry,solar,804996,709987,687651,2023-11-03,2024-02-11,completed,Water Supply & Sanitation Board,"Comar, Brahmbhatt and Tata Builders",REG-150,"H.No. 006, Borah Nagar, Coimbatore, PIN - 816707",KIJSU5001T,11.022841,76.988239,True,True,2023-24
WB-KOL-2024-0031,WB-01,Kolkata,West Bengal,MP Idika Pandey,community_hall,4420000,4420000,4331600,2024-01-03,2024-09-15,completed,Rural Engineering Services (RES),National Infra Conclave,REG-DL-990,"17/39
Shroff Road, Kolkata, PIN - 110001",NATIN3322R,22.557821,88.35608,True,True,2024-25
UP-MEE-2023-0032,UP-09,Meerut,Uttar Pradesh,MP Krish Nagarajan,solar,1080000,1080000,1058400,2023-11-24,2024-01-15,completed,Water Supply & Sanitation Board,Royal Highway Builders,REG-RJ-551,"64
Sharma Path, Meerut, PIN - 302001",RYHB8822P,29.052988,77.643382,True,True,2023-24
MP-BHO-2023-0033,MP-01,Bhopal,Madhya Pradesh,MP Ayush Nagy,drainage,1166089,1059565,1038107,2023-08-06,,stalled,Water Supply & Sanitation Board,"Lalla, Buch and Choudhry Builders",REG-610,"01
Sunder Ganj, Bhopal, PIN - 433528",KZXVY7119O,23.333521,77.355652,False,False,2023-24
UP-BAR-2023-0034,UP-03,Barabanki,Uttar Pradesh,MP Tristan Shankar,solar,606387,564287,561295,2023-02-02,2023-06-12,completed,Zila Parishad Engineering Division,Dani Ltd Builders,REG-396,"010, Nayak Marg, Barabanki, PIN - 454061",MRBKP0321I,26.966927,81.248867,True,True,2023-24
K-DHA-2024-0035,KA-03,Dharwad,Karnataka,MP Megha Chadha,sanitation,612896,612896,612896,2024-04-04,2024-06-25,completed,Water Supply & Sanitation Board,Shree Ram Construction,REG-UP-001,"48
Setty, Dharwad, PIN - 225001",ABCDE1234F,15.482048,74.939503,False,False,2024-25
M-AUR-2024-0036,MH-05,Aurangabad,Maharashtra,MP Leela Keer,community_hall,3131747,2708982,2605909,2024-06-12,2025-03-09,completed,Water Supply & Sanitation Board,"Kothari, Dani and Ganesh Builders",REG-838,"H.No. 38
Choudhary Zila, Aurangabad, PIN - 396741",HYZUS6445Z,19.873938,75.315835,True,True,2024-25
MP-GWA-2023-0037,MP-04,Gwalior,Madhya Pradesh,MP Meera Konda,building,2268935,2146697,1991422,2023-06-08,2024-04-13,completed,Rural Engineering Services (RES),Krish and Sons Builders,REG-565,"61/726, Swamy Zila, Gwalior, PIN - 202337",KICEK4647B,26.247033,78.15585,True,True,2023-24
K-MYS-2024-0038,KA-02,Mysuru,Karnataka,MP Kabir Gour,road,2114047,1995645,1941248,2024-03-18,2024-09-30,completed,Municipal Corporation Engineering Cell,Mishra PLC Builders,REG-365,"H.No. 780
Banik Nagar, Mysuru, PIN - 188629",DBUFF4690S,12.31686,76.689423,True,True,2024-25
TN-COI-2023-0039,TN-02,Coimbatore,Tamil Nadu,MP Anamika Choudhary,drainage,1708732,1708732,1708732,2023-06-13,2023-11-18,completed,Municipal Corporation Engineering Cell,M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 799, Venkatesh Road, Coimbatore, PIN - 800001",MDUIN9988K,11.018466,76.939286,False,False,2023-24
A-KAM-2023-0040,AS-01,Kamrup Metropolitan,Assam,MP William Mannan,solar,631245,626388,605054,2023-09-05,2023-11-16,completed,Rural Engineering Services (RES),Din-Manne Builders,REG-333,"H.No. 574
Basu Ganj, Kamrup Metropolitan, PIN - 643541",MNBWE1786D,26.214768,91.662667,True,True,2023-24
T-NIZ-2024-0041,TS-03,Nizamabad,Telangana,MP Upadhriti Sankaran,water,761335,721196,656520,2024-08-15,,stalled,Municipal Corporation Engineering Cell,Bir Ltd Builders,REG-562,"724, Dutt Chowk, Nizamabad, PIN - 291043",DUSFP6921C,18.72608,78.056231,False,False,2024-25
UP-PRA-2024-0042,UP-06,Prayagraj,Uttar Pradesh,MP Qadim Wason,solar,585629,574008,544553,2024-07-08,,ongoing,Public Works Department (PWD),Sahota and Sons Builders,REG-777,"73/81
Sandal Nagar, Prayagraj, PIN - 348968",NZJOV6857B,25.436094,81.788535,False,False,2024-25
K-MYS-2023-0043,KA-02,Mysuru,Karnataka,MP Ekanta Bali,community_hall,2774579,2774579,2774579,2023-11-08,2024-06-11,completed,Rural Engineering Services (RES),Shree Ram Construction,REG-UP-001,"63
Chandran Marg, Mysuru, PIN - 225001",ABCDE1234F,12.310327,76.662961,False,False,2023-24
M-PUN-2023-0044,MH-01,Pune,Maharashtra,MP Saumya Chana,solar,574949,501372,459574,2023-03-21,2023-04-20,completed,Municipal Corporation Engineering Cell,"Palan, Tak and Gade Builders",REG-698,"08/56, Mand Ganj, Pune, PIN - 354068",KEIFX7095Y,18.593718,73.872597,True,True,2023-24
M-SOL-2024-0045,MH-06,Solapur,Maharashtra,MP Chaitaly Chacko,drainage,1502858,1309600,1254943,2024-08-06,2024-07-08,completed,Zila Parishad Engineering Division,Royal Highway Builders,REG-RJ-551,"H.No. 414, Radhakrishnan Ganj, Solapur, PIN - 302001",RYHB8822P,17.622223,75.94227,True,True,2024-25
M-PUN-2023-0046,MH-01,Pune,Maharashtra,MP Qushi Banik,road,1134057,1035359,947308,2023-04-17,2023-11-05,completed,District Rural Development Agency (DRDA),Tata-Mohan Builders,REG-524,"H.No. 339
Andra Zila, Pune, PIN - 796735",CXDLR7947E,18.516539,73.87506,True,True,2023-24
K-MYS-2023-0047,KA-02,Mysuru,Karnataka,MP Amruta Kannan,solar,665397,652903,633162,2023-11-21,,ongoing,Rural Engineering Services (RES),"Modi, Wable and Sur Builders",REG-196,"H.No. 20
Ranganathan Ganj, Mysuru, PIN - 695066",PJXKU6063K,12.365947,76.63654,False,False,2023-24
MP-GWA-2024-0048,MP-04,Gwalior,Madhya Pradesh,MP Balhaar Kannan,building,5074116,4528597,4472789,2024-08-25,2024-08-07,completed,District Rural Development Agency (DRDA),National Infra Conclave,REG-DL-990,"H.No. 82
Devan Zila, Gwalior, PIN - 110001",NATIN3322R,26.168543,78.216264,False,False,2024-25
A-KAM-2024-0049,AS-01,Kamrup Metropolitan,Assam,MP Eesha Wable,water,1039977,923546,910152,2024-06-04,,ongoing,Water Supply & Sanitation Board,Dass and Sons Builders,REG-858,"H.No. 10, Kapadia Marg, Kamrup Metropolitan, PIN - 617993",DZLVH4612N,26.123003,91.70029,False,False,2024-25
TN-MAD-2024-0050,TN-03,Madurai,Tamil Nadu,MP Caleb Baral,solar,478695,478695,478695,2024-05-10,2024-06-23,completed,Public Works Department (PWD),Surya Dev Projects Ltd,REG-MP-883,"23
Subramanian Street, Madurai, PIN - 462001",SDPL4433Q,9.916655,78.15169,False,False,2024-25
MP-IND-2024-0051,MP-02,Indore,Madhya Pradesh,MP Yahvi Das,sanitation,770000,770000,754600,2024-09-20,2024-11-03,completed,Municipal Corporation Engineering Cell,M/s Maa Durga Infrastructure,REG-BR-442,"794, Sem Circle, Indore, PIN - 800001",MDUIN9988K,22.771321,75.853167,True,True,2024-25
R-BIK-2023-0052,RJ-05,Bikaner,Rajasthan,MP Bachittar Dubey,road,2780000,2780000,2724400,2023-12-13,,stalled,Water Supply & Sanitation Board,National Infra Conclave,REG-DL-990,"H.No. 27, Din Road, Bikaner, PIN - 110001",NATIN3322R,28.094215,73.363137,False,False,2023-24
A-KAM-2024-0053,AS-01,Kamrup Metropolitan,Assam,MP Riya Nori,solar,424759,424759,424759,2024-04-02,2024-07-08,completed,Public Works Department (PWD),Apex Civil Enterprises,REG-MH-109,"H.No. 069
Mannan Circle, Kamrup Metropolitan, PIN - 411001",APXCE7711Z,26.102781,91.656246,False,False,2024-25
T-WAR-2024-0054,TS-02,Warangal,Telangana,MP Diya Sane,drainage,1312276,1118459,1085310,2024-11-13,2025-03-26,completed,Municipal Corporation Engineering Cell,Dutt-Lalla Builders,REG-528,"631, Borde Chowk, Warangal, PIN - 671527",TRCIO9558Q,17.934419,79.646862,True,True,2024-25
MP-IND-2023-0055,MP-02,Indore,Madhya Pradesh,MP Jacob Anne,solar,639212,550270,511434,2023-05-06,2023-07-23,completed,Municipal Corporation Engineering Cell,Brar Group Builders,REG-916,"H.No. 26, Kata, Indore, PIN - 661356",PQQMW4034U,22.792673,75.917878,True,True,2023-24
R-KOT-2024-0056,RJ-03,Kota,Rajasthan,MP Urvi Devi,sanitation,329523,303917,281360,2024-11-15,,ongoing,Zila Parishad Engineering Division,Dalal-Chandran Builders,REG-693,"977, Ramanathan Nagar, Kota, PIN - 580711",DFPTR1747Y,25.242106,75.821589,False,False,2024-25
B-DAR-2024-0057,BR-05,Darbhanga,Bihar,MP Yadavi Thaker,road,1356528,1342568,1272292,2024-11-24,2025-05-28,completed,Water Supply & Sanitation Board,Vohra PLC Builders,REG-341,"H.No. 70, Nadkarni Ganj, Darbhanga, PIN - 217798",IENCN9378E,26.217291,85.854852,True,True,2024-25
B-MUZ-2023-0058,BR-03,Muzaffarpur,Bihar,MP Chanchal Choudhury,building,4610758,4027032,3667292,2023-04-27,2024-02-21,completed,Municipal Corporation Engineering Cell,Jain Ltd Builders,REG-844,"35/40
Ahuja, Muzaffarpur, PIN - 432448",AKGJV8906X,26.139112,85.406979,True,True,2023-24
TN-TIR-2024-0059,TN-04,Tiruchirappalli,Tamil Nadu,MP Anika Dora,sanitation,770000,770000,754600,2024-08-06,,stalled,Rural Engineering Services (RES),Apex Civil Enterprises,REG-MH-109,"97/45, Mitra Marg, Tiruchirappalli, PIN - 411001",APXCE7711Z,10.719164,78.752583,False,False,2024-25
MP-IND-2023-0060,MP-02,Indore,Madhya Pradesh,MP Bishakha Sagar,sanitation,344794,328720,296236,2023-08-04,2023-09-22,completed,Municipal Corporation Engineering Cell,Oommen-Lala Builders,REG-932,"83/35, Modi Marg, Indore, PIN - 841758",XRANK0752Q,22.732561,75.82977,True,True,2023-24
R-KOT-2023-0061,RJ-03,Kota,Rajasthan,MP Vedant Rege,water,1101154,997476,982945,2023-08-14,2023-12-23,completed,Municipal Corporation Engineering Cell,"Kant, Nanda and Lalla Builders",REG-848,"44/348, Vohra Nagar, Kota, PIN - 590718",KTSWL4588C,25.162582,75.805782,True,True,2023-24
MP-BHO-2023-0062,MP-01,Bhopal,Madhya Pradesh,MP Pallavi Amble,building,3518908,3213565,2935421,2023-12-05,2023-11-24,completed,Zila Parishad Engineering Division,National Infra Conclave,REG-DL-990,"39/317
Vora Chowk, Bhopal, PIN - 110001",NATIN3322R,23.29519,77.458253,False,False,2023-24
M-NAS-2023-0063,MH-03,Nashik,Maharashtra,MP Ikbal Kunda,road,1347393,1347393,1347393,2023-05-16,2023-11-19,completed,Zila Parishad Engineering Division,Shree Ram Construction,REG-UP-001,"H.No. 93
Bansal Road, Nashik, PIN - 225001",ABCDE1234F,20.006699,73.839403,False,False,2023-24
R-UDA-2023-0064,RJ-04,Udaipur,Rajasthan,MP Vedika Merchant,sanitation,349460,348378,323455,2023-10-19,2023-11-26,completed,District Rural Development Agency (DRDA),"Ganguly, Kothari and Loyal Builders",REG-252,"21
Palan Zila, Udaipur, PIN - 146332",YLSMJ4392O,24.583399,73.750344,True,True,2023-24
A-KAM-2024-0065,AS-01,Kamrup Metropolitan,Assam,MP Hemangini Oommen,water,630834,542959,497459,2024-11-20,2025-01-26,completed,Zila Parishad Engineering Division,Ganesan Inc Builders,REG-277,"85/43
Bal Zila, Kamrup Metropolitan, PIN - 591992",XWTBD2365K,26.115201,91.702817,True,True,2024-25
O-PUR-2024-0066,OD-03,Puri,Odisha,MP Andrew Mistry,solar,629672,603959,583546,2024-07-06,2024-06-06,completed,District Rural Development Agency (DRDA),Surya Dev Projects Ltd,REG-MP-883,"H.No. 398
Amble Path, Puri, PIN - 462001",SDPL4433Q,19.760206,85.767681,True,True,2024-25
T-HYD-2023-0067,TS-01,Hyderabad,Telangana,MP Isaac Modi,road,2780000,2780000,2724400,2023-05-20,2023-12-10,completed,Municipal Corporation Engineering Cell,National Infra Conclave,REG-DL-990,"68, Trivedi Nagar, Hyderabad, PIN - 110001",NATIN3322R,17.375906,78.426926,True,True,2023-24
R-UDA-2024-0068,RJ-04,Udaipur,Rajasthan,MP Hemal Nazareth,sanitation,430474,383492,362202,2024-08-15,,stalled,Water Supply & Sanitation Board,Tata-Mohan Builders,REG-524,"77/86
Bajwa Marg, Udaipur, PIN - 796735",CXDLR7947E,24.599933,73.705547,False,False,2024-25
R-UDA-2023-0069,RJ-04,Udaipur,Rajasthan,MP Ira Kade,drainage,1489050,1300473,1171798,2023-02-15,,stalled,District Rural Development Agency (DRDA),Sama and Sons Builders,REG-630,"35
Mann Marg, Udaipur, PIN - 489353",IIZKN9654G,24.560422,73.707572,False,False,2023-24
A-KAM-2023-0070,AS-01,Kamrup Metropolitan,Assam,MP Chandani Sachdev,water,946917,884499,830964,2023-01-18,2023-04-26,completed,District Rural Development Agency (DRDA),"Kale, Comar and Boase Builders",REG-266,"H.No. 623
Palla Road, Kamrup Metropolitan, PIN - 701353",REWAF1889J,26.197048,91.691495,True,True,2023-24
G-VAD-2024-0071,GJ-03,Vadodara,Gujarat,MP Gauri Kalla,water,485813,485813,485813,2024-11-24,2025-02-28,completed,Rural Engineering Services (RES),Surya Dev Projects Ltd,REG-MP-883,"38, Zachariah Nagar, Vadodara, PIN - 462001",SDPL4433Q,22.244857,73.174055,True,True,2024-25
UP-LUC-2023-0072,UP-01,Lucknow,Uttar Pradesh,MP Anya Zacharia,building,4107831,3496711,3178579,2023-05-09,2024-03-26,completed,Rural Engineering Services (RES),Jain Ltd Builders,REG-844,"13
Mukhopadhyay Marg, Lucknow, PIN - 432448",AKGJV8906X,26.80145,80.933439,True,True,2023-24
M-NAG-2024-0073,MH-02,Nagpur,Maharashtra,MP Odika Hayer,road,1432115,1409709,1303992,2024-07-03,,ongoing,Public Works Department (PWD),"Rao, Walla and Mall Builders",REG-422,"85/416
Behl Road, Nagpur, PIN - 332955",ITBVU4095W,21.085314,79.131103,False,False,2024-25
O-PUR-2023-0074,OD-03,Puri,Odisha,MP Warda Chaudhry,sanitation,437311,416414,387769,2023-09-22,2023-12-24,completed,Municipal Corporation Engineering Cell,Ramaswamy Ltd Builders,REG-406,"H.No. 059
Gala Street, Puri, PIN - 779975",QLRXM2509S,19.834166,85.75795,True,True,2023-24
G-SUR-2023-0075,GJ-02,Surat,Gujarat,MP Odika Mand,building,3556037,3446363,3303234,2023-04-21,,ongoing,Water Supply & Sanitation Board,Randhawa-Sharma Builders,REG-995,"H.No. 62
Comar Nagar, Surat, PIN - 499244",UUNKE1680P,21.091629,72.757819,False,False,2023-24
UP-GOR-2024-0076,UP-07,Gorakhpur,Uttar Pradesh,MP Nakul Oommen,community_hall,2816563,2690378,2634274,2024-11-02,2025-08-09,completed,Water Supply & Sanitation Board,"Minhas, Nori and Sur Builders",REG-328,"13, Bail Road, Gorakhpur, PIN - 650828",KIKSH0359F,26.717828,83.450268,True,True,2024-25
R-UDA-2023-0077,RJ-04,Udaipur,Rajasthan,MP Gaurav Bandi,community_hall,2559354,2288592,2219256,2023-05-02,2023-11-25,completed,Water Supply & Sanitation Board,"Dhar, Dalal and Nadkarni Builders",REG-129,"64/349, Buch, Udaipur, PIN - 292176",TWVNE3518S,24.53526,73.688126,True,True,2023-24
TN-CHE-2024-0078,TN-01,Chennai,Tamil Nadu,MP Manya Contractor,building,4262523,3623604,3492438,2024-05-27,,ongoing,Zila Parishad Engineering Division,Ravel-Brahmbhatt Builders,REG-115,"H.No. 343, Gokhale Ganj, Chennai, PIN - 485644",UPHZZ5718E,13.143969,80.289858,False,False,2024-25
MP-BHO-2024-0079,MP-01,Bhopal,Madhya Pradesh,MP Warjas Ahluwalia,building,3039620,2875892,2620071,2024-09-05,,stalled,Public Works Department (PWD),Bhatnagar Inc Builders,REG-518,"H.No. 70
Sachdev Nagar, Bhopal, PIN - 452027",FLYXQ6195V,23.186904,77.482648,False,False,2024-25
A-SIL-2024-0080,AS-03,Silchar,Assam,MP Manan Yogi,drainage,980028,886879,851931,2024-09-20,2025-02-10,completed,Rural Engineering Services (RES),"Rao, Walla and Mall Builders",REG-422,"H.No. 401, Lalla Circle, Silchar, PIN - 332955",ITBVU4095W,24.902134,92.732298,True,True,2024-25
O-PUR-2024-0081,OD-03,Puri,Odisha,MP Yashasvi Chada,drainage,988962,988962,988962,2024-12-02,2025-05-11,completed,District Rural Development Agency (DRDA),M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 24
Sehgal Street, Puri, PIN - 800001",MDUIN9988K,19.884637,85.904894,False,False,2024-25
TN-COI-2023-0082,TN-02,Coimbatore,Tamil Nadu,MP Ojasvi Dalal,drainage,875062,868171,829834,2023-04-17,,stalled,Municipal Corporation Engineering Cell,Narasimhan-Samra Builders,REG-463,"30/70
Mangat Marg, Coimbatore, PIN - 284418",KAZSV5912V,11.056177,76.998405,False,False,2023-24
M-THA-2024-0083,MH-04,Thane,Maharashtra,MP Kabir Lala,solar,445070,418360,415578,2024-09-11,2024-11-19,completed,Zila Parishad Engineering Division,Dutt-Lalla Builders,REG-528,"671, Dar Ganj, Thane, PIN - 671527",TRCIO9558Q,19.296934,72.950045,True,True,2024-25
TN-COI-2024-0084,TN-02,Coimbatore,Tamil Nadu,MP Yashvi Pradhan,building,5542396,5542396,5542396,2024-09-24,2025-07-19,completed,Zila Parishad Engineering Division,M/s Maa Durga Infrastructure,REG-BR-442,"020, Kapadia Nagar, Coimbatore, PIN - 800001",MDUIN9988K,11.032122,76.958617,False,False,2024-25
M-SOL-2024-0085,MH-06,Solapur,Maharashtra,MP Edhitha Pandit,sanitation,312375,278449,266020,2024-01-25,,stalled,District Rural Development Agency (DRDA),"Wadhwa, Kibe and Bedi Builders",REG-866,"79
Lanka, Solapur, PIN - 832312",XRGML9453I,17.728048,75.851154,False,False,2024-25
